# Force coefficients
# liftDir  : (0.000e+00 0.000e+00 1.000e+00)
# dragDir  : (1.000e+00 0.000e+00 0.000e+00)
# pitchAxis: (0.000e+00 1.000e+00 0.000e+00)
# magUInf  : 1.500e+01
# lRef     : 1.590e+00
# Aref     : 7.259e-01
# CofR     : (7.200e-01 0.000e+00 0.000e+00)
# Time     	Cm         	Cd         	Cl         	Cl(f)      	Cl(r)      
165        	-2.903e+00	-1.294e+00	-3.376e+00	-4.591e+00	1.215e+00
166        	-2.912e+00	-1.291e+00	-3.385e+00	-4.605e+00	1.220e+00
167        	-2.921e+00	-1.287e+00	-3.392e+00	-4.617e+00	1.225e+00
168        	-2.927e+00	-1.283e+00	-3.396e+00	-4.625e+00	1.229e+00
169        	-2.930e+00	-1.279e+00	-3.398e+00	-4.629e+00	1.230e+00
170        	-2.929e+00	-1.275e+00	-3.397e+00	-4.627e+00	1.230e+00
171        	-2.926e+00	-1.271e+00	-3.393e+00	-4.622e+00	1.229e+00
172        	-2.921e+00	-1.267e+00	-3.388e+00	-4.615e+00	1.227e+00
173        	-2.915e+00	-1.264e+00	-3.382e+00	-4.606e+00	1.225e+00
174        	-2.911e+00	-1.261e+00	-3.376e+00	-4.599e+00	1.222e+00
175        	-2.907e+00	-1.260e+00	-3.371e+00	-4.592e+00	1.221e+00
176        	-2.905e+00	-1.259e+00	-3.368e+00	-4.588e+00	1.221e+00
177        	-2.904e+00	-1.260e+00	-3.365e+00	-4.587e+00	1.222e+00
178        	-2.906e+00	-1.261e+00	-3.364e+00	-4.588e+00	1.224e+00
179        	-2.909e+00	-1.263e+00	-3.364e+00	-4.591e+00	1.227e+00
180        	-2.914e+00	-1.265e+00	-3.365e+00	-4.597e+00	1.231e+00
181        	-2.920e+00	-1.267e+00	-3.367e+00	-4.603e+00	1.236e+00
182        	-2.926e+00	-1.269e+00	-3.370e+00	-4.611e+00	1.241e+00
183        	-2.932e+00	-1.272e+00	-3.372e+00	-4.618e+00	1.246e+00
184        	-2.937e+00	-1.274e+00	-3.373e+00	-4.623e+00	1.250e+00
185        	-2.940e+00	-1.277e+00	-3.374e+00	-4.627e+00	1.253e+00
186        	-2.941e+00	-1.278e+00	-3.373e+00	-4.628e+00	1.255e+00
187        	-2.941e+00	-1.280e+00	-3.371e+00	-4.627e+00	1.255e+00
188        	-2.940e+00	-1.281e+00	-3.369e+00	-4.624e+00	1.255e+00
189        	-2.937e+00	-1.281e+00	-3.366e+00	-4.620e+00	1.254e+00
190        	-2.934e+00	-1.281e+00	-3.363e+00	-4.616e+00	1.253e+00
191        	-2.932e+00	-1.280e+00	-3.361e+00	-4.612e+00	1.251e+00
192        	-2.929e+00	-1.279e+00	-3.359e+00	-4.609e+00	1.250e+00
193        	-2.928e+00	-1.277e+00	-3.358e+00	-4.607e+00	1.249e+00
194        	-2.927e+00	-1.275e+00	-3.357e+00	-4.606e+00	1.249e+00
195        	-2.927e+00	-1.273e+00	-3.356e+00	-4.605e+00	1.249e+00
196        	-2.928e+00	-1.270e+00	-3.355e+00	-4.605e+00	1.250e+00
197        	-2.928e+00	-1.268e+00	-3.355e+00	-4.605e+00	1.250e+00
198        	-2.928e+00	-1.265e+00	-3.355e+00	-4.606e+00	1.251e+00
199        	-2.929e+00	-1.263e+00	-3.355e+00	-4.606e+00	1.252e+00
200        	-2.930e+00	-1.261e+00	-3.356e+00	-4.608e+00	1.252e+00
201        	-2.931e+00	-1.261e+00	-3.357e+00	-4.610e+00	1.253e+00
202        	-2.933e+00	-1.260e+00	-3.359e+00	-4.612e+00	1.254e+00
203        	-2.935e+00	-1.261e+00	-3.362e+00	-4.616e+00	1.254e+00
204        	-2.938e+00	-1.261e+00	-3.365e+00	-4.620e+00	1.255e+00
205        	-2.941e+00	-1.262e+00	-3.369e+00	-4.625e+00	1.256e+00
206        	-2.944e+00	-1.264e+00	-3.372e+00	-4.630e+00	1.258e+00
207        	-2.947e+00	-1.265e+00	-3.376e+00	-4.635e+00	1.259e+00
208        	-2.950e+00	-1.267e+00	-3.379e+00	-4.639e+00	1.261e+00
209        	-2.952e+00	-1.269e+00	-3.380e+00	-4.642e+00	1.262e+00
210        	-2.954e+00	-1.271e+00	-3.381e+00	-4.644e+00	1.263e+00
211        	-2.954e+00	-1.273e+00	-3.380e+00	-4.644e+00	1.264e+00
212        	-2.953e+00	-1.276e+00	-3.379e+00	-4.642e+00	1.264e+00
213        	-2.951e+00	-1.278e+00	-3.376e+00	-4.639e+00	1.263e+00
214        	-2.949e+00	-1.280e+00	-3.373e+00	-4.635e+00	1.262e+00
215        	-2.946e+00	-1.282e+00	-3.369e+00	-4.630e+00	1.261e+00
216        	-2.942e+00	-1.284e+00	-3.366e+00	-4.626e+00	1.259e+00
217        	-2.939e+00	-1.286e+00	-3.364e+00	-4.621e+00	1.257e+00
218        	-2.936e+00	-1.287e+00	-3.362e+00	-4.617e+00	1.255e+00
219        	-2.933e+00	-1.287e+00	-3.360e+00	-4.613e+00	1.253e+00
220        	-2.929e+00	-1.288e+00	-3.359e+00	-4.609e+00	1.250e+00
221        	-2.926e+00	-1.287e+00	-3.358e+00	-4.605e+00	1.247e+00
222        	-2.923e+00	-1.287e+00	-3.357e+00	-4.601e+00	1.244e+00
223        	-2.919e+00	-1.285e+00	-3.356e+00	-4.598e+00	1.241e+00
224        	-2.916e+00	-1.284e+00	-3.355e+00	-4.593e+00	1.238e+00
225        	-2.912e+00	-1.282e+00	-3.353e+00	-4.588e+00	1.235e+00
226        	-2.907e+00	-1.280e+00	-3.351e+00	-4.583e+00	1.232e+00
227        	-2.902e+00	-1.278e+00	-3.348e+00	-4.576e+00	1.228e+00
228        	-2.896e+00	-1.276e+00	-3.345e+00	-4.569e+00	1.224e+00
229        	-2.890e+00	-1.273e+00	-3.340e+00	-4.560e+00	1.220e+00
230        	-2.883e+00	-1.271e+00	-3.335e+00	-4.551e+00	1.215e+00
231        	-2.875e+00	-1.269e+00	-3.330e+00	-4.540e+00	1.210e+00
232        	-2.867e+00	-1.267e+00	-3.323e+00	-4.528e+00	1.205e+00
233        	-2.858e+00	-1.265e+00	-3.316e+00	-4.516e+00	1.200e+00
234        	-2.849e+00	-1.263e+00	-3.309e+00	-4.503e+00	1.194e+00
235        	-2.840e+00	-1.262e+00	-3.301e+00	-4.490e+00	1.189e+00
236        	-2.830e+00	-1.260e+00	-3.294e+00	-4.477e+00	1.184e+00
237        	-2.822e+00	-1.259e+00	-3.286e+00	-4.465e+00	1.179e+00
238        	-2.814e+00	-1.258e+00	-3.280e+00	-4.454e+00	1.174e+00
239        	-2.807e+00	-1.258e+00	-3.273e+00	-4.444e+00	1.170e+00
240        	-2.801e+00	-1.257e+00	-3.268e+00	-4.435e+00	1.167e+00
241        	-2.796e+00	-1.256e+00	-3.263e+00	-4.428e+00	1.165e+00
242        	-2.793e+00	-1.256e+00	-3.260e+00	-4.424e+00	1.163e+00
243        	-2.792e+00	-1.255e+00	-3.259e+00	-4.422e+00	1.163e+00
