# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
69         	((-1.145e+01 1.516e+01 -1.696e+00) (-1.158e-01 1.208e-02 1.091e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.381e+00 -2.845e+00 -5.905e+00) (4.375e-03 -8.433e-03 2.679e-02) (0.000e+00 0.000e+00 0.000e+00))
70         	((-1.132e+01 1.465e+01 -1.536e+00) (-1.184e-01 1.194e-02 1.129e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.345e+00 -2.787e+00 -5.855e+00) (4.499e-03 -8.295e-03 2.778e-02) (0.000e+00 0.000e+00 0.000e+00))
71         	((-1.116e+01 1.416e+01 -1.342e+00) (-1.211e-01 1.180e-02 1.152e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.306e+00 -2.734e+00 -5.814e+00) (4.587e-03 -8.311e-03 2.885e-02) (0.000e+00 0.000e+00 0.000e+00))
72         	((-1.100e+01 1.376e+01 -1.149e+00) (-1.237e-01 1.168e-02 1.170e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.272e+00 -2.688e+00 -5.794e+00) (4.661e-03 -8.391e-03 2.983e-02) (0.000e+00 0.000e+00 0.000e+00))
73         	((-1.084e+01 1.345e+01 -9.812e-01) (-1.263e-01 1.151e-02 1.180e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.245e+00 -2.652e+00 -5.794e+00) (4.743e-03 -8.537e-03 3.083e-02) (0.000e+00 0.000e+00 0.000e+00))
74         	((-1.071e+01 1.323e+01 -8.493e-01) (-1.288e-01 1.143e-02 1.188e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.228e+00 -2.635e+00 -5.815e+00) (4.801e-03 -8.711e-03 3.172e-02) (0.000e+00 0.000e+00 0.000e+00))
75         	((-1.063e+01 1.309e+01 -7.585e-01) (-1.313e-01 1.135e-02 1.196e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.223e+00 -2.639e+00 -5.847e+00) (4.852e-03 -8.950e-03 3.261e-02) (0.000e+00 0.000e+00 0.000e+00))
76         	((-1.058e+01 1.297e+01 -7.068e-01) (-1.338e-01 1.139e-02 1.225e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.224e+00 -2.661e+00 -5.875e+00) (4.935e-03 -9.088e-03 3.341e-02) (0.000e+00 0.000e+00 0.000e+00))
77         	((-1.055e+01 1.290e+01 -6.956e-01) (-1.363e-01 1.155e-02 1.286e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.229e+00 -2.690e+00 -5.894e+00) (5.086e-03 -9.031e-03 3.412e-02) (0.000e+00 0.000e+00 0.000e+00))
78         	((-1.055e+01 1.286e+01 -7.195e-01) (-1.385e-01 1.170e-02 1.371e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.236e+00 -2.724e+00 -5.908e+00) (5.312e-03 -8.792e-03 3.476e-02) (0.000e+00 0.000e+00 0.000e+00))
