# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
54         	((-1.811e+01 1.900e-01 -1.082e+02) (-2.278e-01 4.297e-03 5.597e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.654e+01 7.070e+01 8.939e+00) (2.545e-02 3.039e-03 9.981e-02) (0.000e+00 0.000e+00 0.000e+00))
55         	((-1.801e+01 1.236e-01 -1.082e+02) (-2.286e-01 4.304e-03 5.624e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.645e+01 7.070e+01 8.850e+00) (2.560e-02 3.059e-03 1.003e-01) (0.000e+00 0.000e+00 0.000e+00))
56         	((-1.796e+01 5.612e-02 -1.082e+02) (-2.295e-01 4.350e-03 5.651e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.641e+01 7.074e+01 8.785e+00) (2.575e-02 3.082e-03 1.008e-01) (0.000e+00 0.000e+00 0.000e+00))
57         	((-1.795e+01 -6.518e-03 -1.083e+02) (-2.304e-01 4.404e-03 5.680e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.644e+01 7.084e+01 8.747e+00) (2.590e-02 3.106e-03 1.013e-01) (0.000e+00 0.000e+00 0.000e+00))
58         	((-1.795e+01 -6.667e-02 -1.085e+02) (-2.313e-01 4.472e-03 5.709e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.650e+01 7.096e+01 8.724e+00) (2.606e-02 3.125e-03 1.018e-01) (0.000e+00 0.000e+00 0.000e+00))
59         	((-1.795e+01 -1.615e-01 -1.087e+02) (-2.322e-01 4.521e-03 5.738e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.655e+01 7.110e+01 8.686e+00) (2.621e-02 3.146e-03 1.023e-01) (0.000e+00 0.000e+00 0.000e+00))
60         	((-1.795e+01 -2.632e-01 -1.088e+02) (-2.331e-01 4.556e-03 5.766e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.657e+01 7.115e+01 8.654e+00) (2.635e-02 3.168e-03 1.028e-01) (0.000e+00 0.000e+00 0.000e+00))
61         	((-1.791e+01 -4.552e-01 -1.088e+02) (-2.340e-01 4.566e-03 5.791e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.654e+01 7.118e+01 8.577e+00) (2.648e-02 3.190e-03 1.033e-01) (0.000e+00 0.000e+00 0.000e+00))
62         	((-1.791e+01 -6.078e-01 -1.088e+02) (-2.349e-01 4.548e-03 5.815e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.652e+01 7.118e+01 8.534e+00) (2.659e-02 3.214e-03 1.037e-01) (0.000e+00 0.000e+00 0.000e+00))
63         	((-1.791e+01 -8.573e-01 -1.088e+02) (-2.358e-01 4.493e-03 5.839e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.650e+01 7.119e+01 8.459e+00) (2.671e-02 3.229e-03 1.042e-01) (0.000e+00 0.000e+00 0.000e+00))
64         	((-1.792e+01 -1.007e+00 -1.088e+02) (-2.367e-01 4.441e-03 5.864e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.650e+01 7.123e+01 8.423e+00) (2.682e-02 3.240e-03 1.046e-01) (0.000e+00 0.000e+00 0.000e+00))
65         	((-1.795e+01 -1.168e+00 -1.089e+02) (-2.376e-01 4.393e-03 5.890e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.653e+01 7.131e+01 8.383e+00) (2.693e-02 3.249e-03 1.050e-01) (0.000e+00 0.000e+00 0.000e+00))
66         	((-1.798e+01 -1.262e+00 -1.091e+02) (-2.385e-01 4.368e-03 5.918e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.658e+01 7.143e+01 8.364e+00) (2.705e-02 3.251e-03 1.054e-01) (0.000e+00 0.000e+00 0.000e+00))
67         	((-1.800e+01 -1.276e+00 -1.094e+02) (-2.394e-01 4.369e-03 5.947e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.663e+01 7.157e+01 8.361e+00) (2.717e-02 3.255e-03 1.058e-01) (0.000e+00 0.000e+00 0.000e+00))
68         	((-1.799e+01 -1.221e+00 -1.096e+02) (-2.403e-01 4.371e-03 5.976e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.669e+01 7.171e+01 8.373e+00) (2.729e-02 3.259e-03 1.062e-01) (0.000e+00 0.000e+00 0.000e+00))
69         	((-1.796e+01 -1.125e+00 -1.098e+02) (-2.413e-01 4.358e-03 6.002e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.675e+01 7.184e+01 8.392e+00) (2.739e-02 3.272e-03 1.066e-01) (0.000e+00 0.000e+00 0.000e+00))
70         	((-1.792e+01 -1.015e+00 -1.099e+02) (-2.422e-01 4.323e-03 6.028e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.680e+01 7.196e+01 8.411e+00) (2.747e-02 3.285e-03 1.070e-01) (0.000e+00 0.000e+00 0.000e+00))
71         	((-1.788e+01 -9.147e-01 -1.101e+02) (-2.431e-01 4.267e-03 6.051e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.685e+01 7.207e+01 8.424e+00) (2.754e-02 3.302e-03 1.074e-01) (0.000e+00 0.000e+00 0.000e+00))
72         	((-1.783e+01 -8.291e-01 -1.102e+02) (-2.440e-01 4.190e-03 6.072e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.691e+01 7.217e+01 8.434e+00) (2.760e-02 3.322e-03 1.078e-01) (0.000e+00 0.000e+00 0.000e+00))
73         	((-1.780e+01 -7.565e-01 -1.104e+02) (-2.447e-01 4.134e-03 6.089e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.697e+01 7.228e+01 8.443e+00) (2.764e-02 3.348e-03 1.081e-01) (0.000e+00 0.000e+00 0.000e+00))
74         	((-1.779e+01 -6.918e-01 -1.105e+02) (-2.455e-01 4.106e-03 6.106e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.704e+01 7.240e+01 8.455e+00) (2.767e-02 3.373e-03 1.085e-01) (0.000e+00 0.000e+00 0.000e+00))
75         	((-1.779e+01 -6.295e-01 -1.107e+02) (-2.462e-01 4.063e-03 6.120e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.712e+01 7.252e+01 8.475e+00) (2.771e-02 3.399e-03 1.088e-01) (0.000e+00 0.000e+00 0.000e+00))
76         	((-1.782e+01 -5.727e-01 -1.109e+02) (-2.468e-01 4.035e-03 6.136e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.721e+01 7.266e+01 8.505e+00) (2.777e-02 3.416e-03 1.092e-01) (0.000e+00 0.000e+00 0.000e+00))
77         	((-1.788e+01 -5.265e-01 -1.112e+02) (-2.475e-01 4.000e-03 6.156e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.731e+01 7.281e+01 8.542e+00) (2.786e-02 3.414e-03 1.096e-01) (0.000e+00 0.000e+00 0.000e+00))
78         	((-1.796e+01 -4.832e-01 -1.115e+02) (-2.482e-01 3.965e-03 6.182e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.743e+01 7.298e+01 8.591e+00) (2.799e-02 3.392e-03 1.100e-01) (0.000e+00 0.000e+00 0.000e+00))
79         	((-1.808e+01 -4.345e-01 -1.118e+02) (-2.490e-01 3.931e-03 6.213e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.755e+01 7.316e+01 8.653e+00) (2.816e-02 3.353e-03 1.105e-01) (0.000e+00 0.000e+00 0.000e+00))
80         	((-1.821e+01 -3.772e-01 -1.121e+02) (-2.499e-01 3.879e-03 6.248e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.768e+01 7.335e+01 8.726e+00) (2.837e-02 3.295e-03 1.111e-01) (0.000e+00 0.000e+00 0.000e+00))
