# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
65         	((-3.629e+00 -2.302e+00 -8.929e+01) (-1.750e-01 -1.419e-02 1.225e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.791e+01 -8.080e+01 4.011e+00) (1.511e-03 4.358e-02 7.367e-02) (0.000e+00 0.000e+00 0.000e+00))
66         	((-3.639e+00 -2.299e+00 -9.022e+01) (-1.760e-01 -1.403e-02 1.220e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.811e+01 -8.152e+01 4.011e+00) (1.524e-03 4.374e-02 7.400e-02) (0.000e+00 0.000e+00 0.000e+00))
67         	((-3.663e+00 -2.300e+00 -9.128e+01) (-1.771e-01 -1.386e-02 1.215e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.832e+01 -8.237e+01 4.018e+00) (1.538e-03 4.391e-02 7.435e-02) (0.000e+00 0.000e+00 0.000e+00))
68         	((-3.698e+00 -2.305e+00 -9.230e+01) (-1.782e-01 -1.367e-02 1.210e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.853e+01 -8.322e+01 4.033e+00) (1.559e-03 4.407e-02 7.468e-02) (0.000e+00 0.000e+00 0.000e+00))
69         	((-3.739e+00 -2.312e+00 -9.310e+01) (-1.792e-01 -1.344e-02 1.202e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.867e+01 -8.392e+01 4.054e+00) (1.576e-03 4.422e-02 7.498e-02) (0.000e+00 0.000e+00 0.000e+00))
70         	((-3.781e+00 -2.319e+00 -9.362e+01) (-1.803e-01 -1.317e-02 1.195e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.876e+01 -8.440e+01 4.077e+00) (1.596e-03 4.437e-02 7.526e-02) (0.000e+00 0.000e+00 0.000e+00))
71         	((-3.822e+00 -2.324e+00 -9.391e+01) (-1.813e-01 -1.285e-02 1.186e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.878e+01 -8.469e+01 4.100e+00) (1.616e-03 4.453e-02 7.550e-02) (0.000e+00 0.000e+00 0.000e+00))
72         	((-3.862e+00 -2.325e+00 -9.408e+01) (-1.823e-01 -1.249e-02 1.180e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.879e+01 -8.491e+01 4.120e+00) (1.656e-03 4.472e-02 7.570e-02) (0.000e+00 0.000e+00 0.000e+00))
73         	((-3.907e+00 -2.321e+00 -9.429e+01) (-1.833e-01 -1.210e-02 1.177e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.881e+01 -8.519e+01 4.140e+00) (1.712e-03 4.492e-02 7.587e-02) (0.000e+00 0.000e+00 0.000e+00))
74         	((-3.959e+00 -2.315e+00 -9.464e+01) (-1.843e-01 -1.171e-02 1.172e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.889e+01 -8.563e+01 4.158e+00) (1.760e-03 4.513e-02 7.606e-02) (0.000e+00 0.000e+00 0.000e+00))
75         	((-4.016e+00 -2.306e+00 -9.522e+01) (-1.855e-01 -1.137e-02 1.166e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.903e+01 -8.629e+01 4.175e+00) (1.796e-03 4.531e-02 7.628e-02) (0.000e+00 0.000e+00 0.000e+00))
76         	((-4.076e+00 -2.297e+00 -9.609e+01) (-1.867e-01 -1.111e-02 1.162e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.927e+01 -8.721e+01 4.189e+00) (1.829e-03 4.550e-02 7.656e-02) (0.000e+00 0.000e+00 0.000e+00))
77         	((-4.132e+00 -2.288e+00 -9.725e+01) (-1.880e-01 -1.098e-02 1.158e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.960e+01 -8.833e+01 4.201e+00) (1.845e-03 4.572e-02 7.693e-02) (0.000e+00 0.000e+00 0.000e+00))
78         	((-4.186e+00 -2.278e+00 -9.861e+01) (-1.894e-01 -1.097e-02 1.153e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.001e+01 -8.961e+01 4.211e+00) (1.838e-03 4.593e-02 7.741e-02) (0.000e+00 0.000e+00 0.000e+00))
79         	((-4.238e+00 -2.270e+00 -1.001e+02) (-1.910e-01 -1.108e-02 1.148e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.046e+01 -9.092e+01 4.222e+00) (1.810e-03 4.617e-02 7.798e-02) (0.000e+00 0.000e+00 0.000e+00))
80         	((-4.289e+00 -2.261e+00 -1.015e+02) (-1.926e-01 -1.127e-02 1.144e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.092e+01 -9.220e+01 4.232e+00) (1.766e-03 4.642e-02 7.860e-02) (0.000e+00 0.000e+00 0.000e+00))
81         	((-4.338e+00 -2.250e+00 -1.029e+02) (-1.942e-01 -1.146e-02 1.141e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.139e+01 -9.341e+01 4.241e+00) (1.726e-03 4.671e-02 7.924e-02) (0.000e+00 0.000e+00 0.000e+00))
82         	((-4.383e+00 -2.240e+00 -1.041e+02) (-1.959e-01 -1.168e-02 1.134e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.181e+01 -9.444e+01 4.250e+00) (1.662e-03 4.697e-02 7.988e-02) (0.000e+00 0.000e+00 0.000e+00))
