# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
53         	((-2.535e+01 1.058e+01 5.115e+01) (-7.359e-01 -2.872e-01 -1.687e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.228e+01 4.005e+01 -2.368e+00) (-9.489e+00 -2.771e+01 8.003e-01) (0.000e+00 0.000e+00 0.000e+00))
54         	((-2.599e+01 1.087e+01 5.128e+01) (-7.474e-01 -2.745e-01 -1.765e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.233e+01 4.026e+01 -2.405e+00) (-9.922e+00 -2.897e+01 7.848e-01) (0.000e+00 0.000e+00 0.000e+00))
55         	((-2.664e+01 1.108e+01 5.146e+01) (-7.568e-01 -2.633e-01 -1.841e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.239e+01 4.056e+01 -2.317e+00) (-1.034e+01 -3.017e+01 7.704e-01) (0.000e+00 0.000e+00 0.000e+00))
56         	((-2.729e+01 1.129e+01 5.168e+01) (-7.665e-01 -2.536e-01 -1.912e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.247e+01 4.099e+01 -2.218e+00) (-1.073e+01 -3.129e+01 7.586e-01) (0.000e+00 0.000e+00 0.000e+00))
57         	((-2.792e+01 1.157e+01 5.193e+01) (-7.746e-01 -2.451e-01 -1.980e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.258e+01 4.153e+01 -2.198e+00) (-1.110e+01 -3.235e+01 7.487e-01) (0.000e+00 0.000e+00 0.000e+00))
58         	((-2.853e+01 1.191e+01 5.219e+01) (-7.787e-01 -2.364e-01 -2.042e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.273e+01 4.216e+01 -2.293e+00) (-1.145e+01 -3.332e+01 7.367e-01) (0.000e+00 0.000e+00 0.000e+00))
59         	((-2.921e+01 1.234e+01 5.238e+01) (-7.802e-01 -2.279e-01 -2.098e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.289e+01 4.282e+01 -2.475e+00) (-1.176e+01 -3.420e+01 7.238e-01) (0.000e+00 0.000e+00 0.000e+00))
60         	((-2.958e+01 1.273e+01 5.253e+01) (-7.783e-01 -2.196e-01 -2.150e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.306e+01 4.338e+01 -2.749e+00) (-1.205e+01 -3.501e+01 7.096e-01) (0.000e+00 0.000e+00 0.000e+00))
61         	((-2.999e+01 1.317e+01 5.241e+01) (-7.739e-01 -2.126e-01 -2.198e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.319e+01 4.376e+01 -3.074e+00) (-1.232e+01 -3.575e+01 6.960e-01) (0.000e+00 0.000e+00 0.000e+00))
62         	((-3.015e+01 1.337e+01 5.237e+01) (-7.677e-01 -2.065e-01 -2.241e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.329e+01 4.408e+01 -3.245e+00) (-1.256e+01 -3.642e+01 6.827e-01) (0.000e+00 0.000e+00 0.000e+00))
63         	((-3.022e+01 1.341e+01 5.201e+01) (-7.603e-01 -2.029e-01 -2.279e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.331e+01 4.416e+01 -3.277e+00) (-1.278e+01 -3.702e+01 6.717e-01) (0.000e+00 0.000e+00 0.000e+00))
64         	((-3.019e+01 1.329e+01 5.189e+01) (-7.527e-01 -2.018e-01 -2.313e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.336e+01 4.428e+01 -3.149e+00) (-1.297e+01 -3.755e+01 6.638e-01) (0.000e+00 0.000e+00 0.000e+00))
65         	((-3.015e+01 1.292e+01 5.151e+01) (-7.444e-01 -2.025e-01 -2.342e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.333e+01 4.407e+01 -2.742e+00) (-1.314e+01 -3.801e+01 6.576e-01) (0.000e+00 0.000e+00 0.000e+00))
66         	((-3.019e+01 1.241e+01 5.099e+01) (-7.366e-01 -2.046e-01 -2.368e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.322e+01 4.365e+01 -2.083e+00) (-1.329e+01 -3.842e+01 6.534e-01) (0.000e+00 0.000e+00 0.000e+00))
67         	((-3.035e+01 1.181e+01 5.043e+01) (-7.301e-01 -2.074e-01 -2.391e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.310e+01 4.311e+01 -1.247e+00) (-1.342e+01 -3.877e+01 6.503e-01) (0.000e+00 0.000e+00 0.000e+00))
68         	((-3.061e+01 1.122e+01 4.995e+01) (-7.259e-01 -2.122e-01 -2.410e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.302e+01 4.262e+01 -3.548e-01) (-1.353e+01 -3.907e+01 6.514e-01) (0.000e+00 0.000e+00 0.000e+00))
69         	((-3.091e+01 1.069e+01 4.956e+01) (-7.226e-01 -2.195e-01 -2.428e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.299e+01 4.224e+01 4.840e-01) (-1.363e+01 -3.934e+01 6.566e-01) (0.000e+00 0.000e+00 0.000e+00))
70         	((-3.122e+01 1.030e+01 4.925e+01) (-7.222e-01 -2.289e-01 -2.443e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.300e+01 4.197e+01 1.166e+00) (-1.372e+01 -3.958e+01 6.671e-01) (0.000e+00 0.000e+00 0.000e+00))
71         	((-3.154e+01 1.011e+01 4.902e+01) (-7.244e-01 -2.402e-01 -2.456e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.304e+01 4.179e+01 1.656e+00) (-1.379e+01 -3.979e+01 6.820e-01) (0.000e+00 0.000e+00 0.000e+00))
72         	((-3.186e+01 1.012e+01 4.896e+01) (-7.301e-01 -2.536e-01 -2.468e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.313e+01 4.177e+01 1.966e+00) (-1.386e+01 -3.997e+01 7.025e-01) (0.000e+00 0.000e+00 0.000e+00))
73         	((-3.214e+01 1.028e+01 4.905e+01) (-7.385e-01 -2.691e-01 -2.478e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.328e+01 4.194e+01 2.150e+00) (-1.392e+01 -4.013e+01 7.281e-01) (0.000e+00 0.000e+00 0.000e+00))
