# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
75         	((-4.956e+01 -1.069e+01 -1.224e+02) (-2.799e-01 9.364e-03 1.298e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.111e+01 -2.348e+02 2.726e+01) (2.718e-02 5.615e-02 7.329e-02) (0.000e+00 0.000e+00 0.000e+00))
76         	((-4.972e+01 -1.065e+01 -1.221e+02) (-2.821e-01 9.261e-03 1.309e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.098e+01 -2.343e+02 2.724e+01) (2.769e-02 5.645e-02 7.426e-02) (0.000e+00 0.000e+00 0.000e+00))
77         	((-4.984e+01 -1.066e+01 -1.216e+02) (-2.853e-01 9.433e-03 1.316e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.080e+01 -2.336e+02 2.730e+01) (2.793e-02 5.577e-02 7.526e-02) (0.000e+00 0.000e+00 0.000e+00))
78         	((-4.993e+01 -1.067e+01 -1.209e+02) (-2.897e-01 9.814e-03 1.317e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.060e+01 -2.327e+02 2.735e+01) (2.779e-02 5.365e-02 7.642e-02) (0.000e+00 0.000e+00 0.000e+00))
79         	((-4.999e+01 -1.054e+01 -1.202e+02) (-2.951e-01 9.825e-03 1.310e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.043e+01 -2.317e+02 2.719e+01) (2.746e-02 5.003e-02 7.863e-02) (0.000e+00 0.000e+00 0.000e+00))
80         	((-5.002e+01 -1.024e+01 -1.195e+02) (-3.006e-01 9.688e-03 1.299e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.031e+01 -2.304e+02 2.674e+01) (2.696e-02 4.562e-02 8.111e-02) (0.000e+00 0.000e+00 0.000e+00))
81         	((-5.001e+01 -9.730e+00 -1.186e+02) (-3.062e-01 9.556e-03 1.292e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.025e+01 -2.290e+02 2.593e+01) (2.664e-02 4.180e-02 8.364e-02) (0.000e+00 0.000e+00 0.000e+00))
82         	((-4.996e+01 -9.025e+00 -1.176e+02) (-3.115e-01 9.435e-03 1.289e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.027e+01 -2.274e+02 2.479e+01) (2.646e-02 3.870e-02 8.599e-02) (0.000e+00 0.000e+00 0.000e+00))
83         	((-4.987e+01 -8.151e+00 -1.166e+02) (-3.163e-01 9.270e-03 1.291e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.036e+01 -2.257e+02 2.335e+01) (2.653e-02 3.661e-02 8.826e-02) (0.000e+00 0.000e+00 0.000e+00))
84         	((-4.973e+01 -7.142e+00 -1.156e+02) (-3.208e-01 9.130e-03 1.295e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.049e+01 -2.238e+02 2.167e+01) (2.667e-02 3.494e-02 9.030e-02) (0.000e+00 0.000e+00 0.000e+00))
